original_name,original_format,original_w,original_h,saved_name,saved_w,saved_h,extreme_dimension
72.png,PNG,1536,1024,72.jpg,1536,1024,False
73.png,PNG,1672,941,73.jpg,1672,941,False
74.png,PNG,5712,4284,74.jpg,5712,4284,False
75.png,PNG,5712,4284,75.jpg,5712,4284,False
76.png,PNG,4284,5712,76.jpg,4284,5712,False
77.png,PNG,5712,4284,77.jpg,5712,4284,False
78.png,PNG,5712,4284,78.jpg,5712,4284,False
8.png,PNG,380,273,8.jpg,380,273,False
9.png,PNG,384,273,9.jpg,384,273,False
Captured photo (2).jpeg,JPEG,1800,4000,Captured photo (2).jpg,1800,4000,False
Captured photo (3).jpeg,JPEG,2160,3840,Captured photo (3).jpg,2160,3840,False
clip_1.png,PNG,579,881,clip_1.jpg,579,881,False
clip_10.png,PNG,578,883,clip_10.jpg,578,883,False
clip_11.png,PNG,578,882,clip_11.jpg,578,882,False
clip_12.png,PNG,583,887,clip_12.jpg,583,887,False
clip_13.png,PNG,582,885,clip_13.jpg,582,885,False
clip_14.png,PNG,580,885,clip_14.jpg,580,885,False
clip_15.png,PNG,584,887,clip_15.jpg,584,887,False
clip_16.png,PNG,583,881,clip_16.jpg,583,881,False
clip_17.png,PNG,583,874,clip_17.jpg,583,874,False
clip_2.png,PNG,584,864,clip_2.jpg,584,864,False
clip_22.png,PNG,579,887,clip_22.jpg,579,887,False
clip_23.png,PNG,578,884,clip_23.jpg,578,884,False
clip_24.png,PNG,577,885,clip_24.jpg,577,885,False
clip_3.png,PNG,1593,883,clip_3.jpg,1593,883,False
clip_4.png,PNG,1179,886,clip_4.jpg,1179,886,False
clip_5.png,PNG,580,880,clip_5.jpg,580,880,False
clip_6.png,PNG,583,884,clip_6.jpg,583,884,False
clip_7.png,PNG,578,878,clip_7.jpg,578,878,False
clip_8.png,PNG,580,882,clip_8.jpg,580,882,False
clip_9.png,PNG,581,883,clip_9.jpg,581,883,False
Image (1).jpeg,JPEG,1024,768,Image (1).jpg,1024,768,False
Image (10).jpeg,JPEG,1230,2184,Image (10).jpg,1230,2184,False
Image (12).jpeg,JPEG,2184,1230,Image (12).jpg,2184,1230,False
Image (13).jpeg,JPEG,1230,2184,Image (13).jpg,1230,2184,False
Image (14).jpeg,JPEG,1230,2184,Image (14).jpg,1230,2184,False
Image (17).jpeg,JPEG,768,1024,Image (17).jpg,768,1024,False
Image (18).jpeg,JPEG,768,1024,Image (18).jpg,768,1024,False
Image (19).jpeg,JPEG,768,1024,Image (19).jpg,768,1024,False
Image (21).jpeg,JPEG,1448,2573,Image (21).jpg,1448,2573,False
Image (23).jpeg,JPEG,1448,2573,Image (23).jpg,1448,2573,False
Image (27).jpeg,JPEG,3024,4032,Image (27).jpg,3024,4032,False
Image (3).jpeg,JPEG,2448,3264,Image (3).jpg,2448,3264,False
Image (32).jpeg,JPEG,1448,2573,Image (32).jpg,1448,2573,False
Image (33).jpeg,JPEG,1448,2573,Image (33).jpg,1448,2573,False
Image (4).jpeg,JPEG,3264,2448,Image (4).jpg,3264,2448,False
Image (6).jpeg,JPEG,3264,2448,Image (6).jpg,3264,2448,False
Image (8).jpeg,JPEG,2082,2776,Image (8).jpg,2082,2776,False
